Delta,Theta,Alpha,Beta,Gamma
1.4563216203058744,0.8035754208874887,0.6151113547890701,0.7047108924473519,0.5447188835831344
1.699804482604191,1.251901164675755,1.163864955955102,1.2312133939385108,1.0870092055104796
1.7406869791007238,1.3310218983001092,1.3572270610247041,1.4344186500165814,1.3840890213007688
1.5239436568510054,1.3104014092344725,1.394406538460098,1.4740803668939773,1.478122442897963
1.4068717027101054,1.3992683724272836,1.5051465848617402,1.4094675499940659,1.4054015591397298
1.3285175326584515,1.3876503644775007,1.49886559502799,1.4327329124536183,1.3496567118764413
1.211371299421882,1.2545934085721768,1.3576033476601874,1.468974026950092,1.4314964255730274
1.000376723785688,1.0715450739071375,1.220059035590886,1.4515780387653685,1.4211384936849303
0.737093115507279,1.1614450979724853,1.298020931027037,1.459319405642677,1.4504240623474742
0.7045273589084747,1.1967007142819959,1.305575692141871,1.4459244619873592,1.4707074807028515
0.8761025663862156,1.0661000172519535,1.1989239069853155,1.4828114889304853,1.4265165646557463
1.1023305660117573,1.0068909039501883,1.136095010847054,1.482225942988866,1.4259225014528767
1.281685904386739,1.002477288563084,1.0963588581743569,1.492036797680191,1.466926333128315
1.341296281705943,1.1785737951289392,1.1501819169705323,1.5087878694068777,1.5094266441965076
1.407720975338944,1.2682295313511154,1.2399329927834175,1.4978916013064412,1.4390587793918421
1.3734675126561076,1.2889640163886322,1.3905840837935284,1.4258333510995036,1.2626417763864293
1.3141296988931763,1.306948953232369,1.3906433089661836,1.3535060194582211,1.0684810106574611
1.3347746955126076,1.090587824058102,1.153141992515823,1.1212105221088742,0.816917360142467
1.3495176986315423,0.6909832666801679,0.7435060515166967,1.0282211380075261,0.9470143761633744
1.2995975211298043,0.8769738323153214,0.9776296174679148,1.1996013949328774,1.199822418964282
1.2586841188141566,0.9521821508310153,0.9150359020235846,1.1293674933438334,1.147541467713695
1.3575436483816985,1.0858883951975622,0.8541929009819997,0.8285869855550902,0.9115847407055006
1.8173208260430158,1.4115348575707538,0.9622688657115664,0.8094469040968567,0.7443223966786935
1.9821817734016074,1.6454925724631888,1.1415407474773474,0.807794926679693,0.6687347906768468
1.9297624506715785,1.572521472049266,1.035697337872052,0.698307692106256,0.5189284464594355
1.4733861870718403,1.1071455075843946,0.63378744564131,0.6316096561310818,0.44069417526574106
1.0189987319807392,0.4676796161909413,0.45787658516232405,0.6169710387729401,0.49641931735721695
2.0378898231789986,1.2381999502998338,0.7676397014813171,0.7758326515937518,0.6515787303385814
2.2248954240126775,1.7908142013398074,1.4592158029167694,1.079449633454788,1.0677027650554551
2.4831170502269426,2.058843307437137,1.8553611247332524,1.265624027966153,1.395894488047233
2.4060421855479635,2.0525819339233213,1.9004082658725137,1.3652226608912343,1.4975993926121431
2.343794368000437,1.7440500966500767,1.6428066375989983,1.210109834611315,1.2985627306138126
2.106564635897375,1.4855688478614673,1.161128798609937,0.8451004219284545,0.7543659473714427
1.9014674649304866,1.279502440918521,0.8309662427296253,0.7308444581505654,0.48286069702100937
1.7043110096915224,1.1566741717968834,0.50265421637175,0.6928282633208811,0.5398644178824402
1.609002925047778,1.3829876465715445,0.9474277415225859,0.8946916349346336,0.8843664667032582
1.6311627991862867,1.514514564821876,1.1886365828398808,1.0480375656984648,1.1943580073713456
1.8091725279156115,1.4566729207710583,1.3226125825957027,1.1137764634014842,1.2352064741323106
1.8234005771239348,1.4283946710529,1.2828979922945583,1.0701027323916688,1.0286817174890375
1.8319244320538874,1.2182169613217542,1.1364846621597307,0.8990850648793125,0.6479684880629357
1.7557840824433164,1.134651193231267,0.8900738547667193,0.6990052470711506,0.49769293300778683
2.0758037000001317,1.6520604028994592,1.3245854208212264,0.9457226325695547,0.9946084923236672
2.410894686891033,1.8959955416896226,1.6658160928905155,1.3174225628718976,1.2570638154177527
2.46530624270639,1.943307946645905,1.7275700117393091,1.4997158952620095,1.2907546945077275
2.4534608570787806,1.9328344561495867,1.682792273310903,1.5416634206820954,1.3623181676142755
2.4918399881466393,2.068996263254531,1.5653653271750534,1.5392816599927508,1.4364083481490155
2.3837383290748853,2.1249527639462453,1.5286868436673853,1.4897491571650343,1.404183671885995
2.4382362875400583,2.146238824435596,1.6358400324848965,1.5548397220461605,1.3795161864978511
2.3254891596630305,1.8889219927566991,1.5775275679418284,1.4342691176921663,1.171311201605558
2.247269134913962,1.4880848228285233,1.1852912814616068,1.0126705864459502,0.7589603937046943
1.9652413516526974,1.5845064944011227,0.9770516154146772,0.7545865290080137,0.5129242725114173
1.7758310084529487,1.4316588034199302,0.7668951792350706,0.6337959446232531,0.44784182865852545
1.4729691928129045,0.9246285793590922,0.48773172713222857,0.5884080818292795,0.35531073957575154
1.2048698602757129,0.14644809555128935,0.539989715818743,0.5586771537282802,0.3611173368255661
0.967770455351621,0.1265186648660005,0.5296105720774587,0.5384963881797523,0.5059815048776036
0.8827701586402639,0.13110597908220079,0.43622338589409193,0.5805320578578979,0.4896803390024359
0.501346705782543,-0.053014726902465545,0.4304809338501936,0.6205712276411249,0.4205503887948346
