Delta,Theta,Alpha,Beta,Gamma
1.9668340735872705,1.3434373329360538,1.1045374190577721,0.8123193069258842,0.5187948791954654
2.1805528074497347,1.76479770754897,1.656928954698818,1.3273998457856955,0.9054077924991866
2.157961719507436,2.0507451685701374,1.9830762804869533,1.609644283560263,0.9834115305927577
2.2516459393224975,2.0784679918672095,1.9945422937784016,1.614176526140053,0.9789546851637514
2.4376729280768195,1.867189390315716,1.8244826843211954,1.5460038994547762,1.2465259457315154
2.483424171091474,1.8829037007183917,1.8702905212931553,1.5912134156628053,1.3325321100072998
2.423821973805818,1.7813748113642316,1.7011185120920274,1.3954616310384398,1.0952789920779236
1.951065763213296,1.287519748913087,0.9932093244205225,0.8169316262456044,0.4679139252249198
-1.2334671889166122,-1.6916463279313863,-1.6816173076194216,-1.6161119313852974,-1.3891736460641906
0.956351994468193,0.2128689119172595,0.09165202718440099,-0.18603956064456714,-0.5617056308709402
1.6236525478186088,0.6459102602055149,0.38296417809094,0.6048077179107066,0.4187578366203736
1.797060738460011,0.8864665807060067,0.7279404215348371,1.0945576643999448,0.9436486238470643
1.710980616097835,1.0226138805595122,0.9960874786709875,1.3149259481320434,1.158982308856336
1.6026286447858815,1.0135507124959886,1.2253386099774404,1.3691990974686783,1.231600259164413
1.466110541761581,0.9812622463843995,1.3447320229529727,1.4063427738248078,1.2406927312181064
1.3135216610310718,1.038930938571805,1.3789929556959224,1.4107230059091547,1.272824283043322
1.204170610162572,0.9731022633966019,1.4310198939144492,1.3699068364256701,1.2998546899307177
1.1358722742600877,0.9503291562973201,1.4407488504582424,1.3912051449146807,1.2256369647277723
1.09891639123666,1.0189335735259097,1.3498457617889106,1.4524644863327028,1.219914348007824
1.066959078163118,0.9663288096890514,1.294910658955517,1.4359928914730224,1.2185473189484803
1.066500293784721,1.068443509813538,1.4047861291566783,1.4040868093484586,1.218780321670027
0.9244961167363726,1.086995014411945,1.4524491728436033,1.394064703948471,1.1743350790371565
1.5541471882301527,1.2300144845091516,1.4162562203566587,1.393254557798217,1.1861530167117498
2.008413373794238,1.9075710964978296,1.6798439681477095,1.4770120177314043,1.2593317541190716
2.303017793309979,2.2112062684289806,1.892122361515086,1.526737025340732,1.3251311174614786
2.495284432724668,2.2238684328802307,1.8294197663520773,1.4307262709379116,1.1721941449397844
2.579546640379912,2.135612685724276,1.7546096322001012,1.3867960563497432,0.7471807164786196
2.505660998672076,2.011970287081159,1.7167431593016966,1.3090635150114152,0.5291076211600632
2.2129581824718287,1.529510997279078,1.3347293052756524,0.8816955522158103,0.27082100494317235
2.2601730240910096,1.6224193913355753,1.3840964795158055,1.0252215532189268,0.5525550342699985
2.4767109062784423,2.004236197705444,1.793219382758589,1.4282939877544736,0.9391275313171809
2.6365865727093927,2.0789593634312213,1.8959892338916249,1.5309738944868607,1.0203346330055942
2.4545044188672995,2.029406828360652,1.9020606533480342,1.5027495245038633,0.9908398923228637
2.2931996576812805,1.907366161988159,2.1316072933132477,1.6257037564806205,1.16518741743071
2.340206087219277,1.957432289039206,2.178549621936569,1.6557003976643614,1.1767430290771725
2.491140023878325,2.1154801003737704,1.8914932217604423,1.5459120114991456,0.9938601077108892
2.4911646681360406,2.1780789046074367,1.7768236844880942,1.4679431430444234,1.0826500932905907
2.3229053199156002,2.3463123121972598,1.8438150768761794,1.540604689757023,1.215101824947502
2.30473664669225,2.3028047032870487,1.7721309023776852,1.4767846655143515,1.0853274410581102
2.4467049758161914,2.130690135307647,1.874190584962098,1.432675184284137,0.9488618322171171
2.6186215415912026,2.089617888882341,2.000503171896905,1.520637823781836,1.1799739222046766
2.3834439446105646,1.9764214709223675,1.8200365637479092,1.4133270535629947,1.1017082805477916
2.248956231009818,1.4695071323059439,1.2785107498414234,0.977835351273911,0.6708576434542675
2.3066134255976607,1.675196478611075,1.4343935451735954,1.219442363128267,1.0339016955665696
