Delta,Theta,Alpha,Beta,Gamma
1.0201579528765967,0.22976303294470166,0.2230091588575112,0.2741990353590245,0.3599253151175244
1.276145839655905,0.8438145840239308,0.6124279058983264,0.6504418701327989,0.7388452621547589
1.6425116085339184,1.2405491687987265,0.9202023909059912,0.6879182714483384,0.7528927023671269
1.697723709676744,1.3045048327674842,1.0961353324605048,0.9020817978668202,0.8408126967096033
1.616841965391716,1.2159562434785227,1.1654628842862889,1.3363436979922256,1.266061958356307
1.836332915690714,1.5067005464410925,1.1426783658477595,1.4933070326022202,1.4252040501042902
1.9224010607367528,1.6866820584780442,1.1522749420170388,1.4444554738715607,1.3834698302598256
1.9971606240977013,1.6369208984390453,1.310550391252265,1.2362133069995322,1.2574301609541605
2.03937920069007,1.7595947646784849,1.5601744437755272,1.2186618443362998,1.1387324176568843
2.1572424272955018,1.812086434302596,1.649071187978262,1.299051249793559,1.0236874229623256
2.298586369233417,1.8484699449535757,1.524730252370909,1.3079986132206343,1.0591629912735037
2.375754394116185,1.8184277637618973,1.5705306029870072,1.428866269880939,1.2117411398718783
2.3600528383874235,1.8443615452480817,1.6182481633377057,1.353418716061858,1.1268443949127689
2.3176454541229963,1.8353499982170167,1.4222844915696895,1.1633058601516129,0.7926310958858516
2.216365832020724,1.9610648030112885,1.3527055144839084,1.1035245426551332,0.709946137533431
2.062992779642117,1.8355583857567774,1.2948842172133443,0.9483894839288503,0.5477880072796132
1.701519542715606,1.4163841016104182,0.9036760111839356,0.495858841900589,0.15828080011643128
1.489904297551782,1.1650766977778526,0.627210613288281,0.28609792919900606,0.12890946285102797
1.3696945338087183,0.9898262241753062,0.6074568259240466,0.2688399242208123,0.04112916718064456
0.853645353688095,0.8035082477139388,0.5432663612897568,0.09013011431656977,-0.009986607919267238
0.8015054328011126,0.35469011568141445,0.31625156076396527,0.1292425476659085,0.11976322651510374
0.8632209974106101,0.3793821341545158,0.06453101592173564,0.22952416431178255,0.21698437324398226
0.8791511309943137,0.35684854304427,0.10171793074118975,0.30060528033630796,0.21004667781518574
0.9360458321995774,0.39008997592904915,0.24597874652105436,0.2033239002550214,0.1127735877034802
1.186277551002255,0.5399292145520352,0.38933982110136345,0.11040683842542744,0.04176400623580362
1.1520759786383201,0.5863072927322389,0.47168328944944493,0.1527802303659964,0.09571674443337895
1.1150255074028925,0.6818870767176164,0.539516699837957,0.17647915952544901,0.14473262896816055
0.7335239386914926,0.8507701255807726,0.4073582486640772,0.14799128168929443,0.024591844905766
0.8949262144401667,0.9832456267737845,0.7118768151491389,0.22084714339921438,-0.04338214528830388
1.0504836206520336,1.0475262175667261,0.8704950060122068,0.22830332252942417,0.0549518516922229
1.2764714321019146,0.9675811517143835,0.6945030725952841,0.11733687459829835,0.16124094660799065
1.1796629844267914,0.7971649520362246,0.40818925922061583,0.0798894659354324,0.16794365587201646
1.3587966926310142,0.7792304037670331,0.5095830802700607,0.11396302208679931,0.10192724331500114
1.3877451643004648,1.1355235014686311,0.6393584822377953,0.20649095900850953,0.056669912278992984
1.4192021165797337,1.1543366557310946,0.695704137416612,0.28901924071365015,0.06775909413984106
1.4833837981373394,0.9866294552162128,0.7324401813223678,0.42307459005363585,0.3480803253917102
1.4545178366696152,0.9153896970001593,0.5037937392553123,0.5187253479796189,0.7788436749569161
1.6197460006477966,0.9443520608943095,0.31941436423444236,0.4987353450126015,0.8526205811061803
1.9880123858131897,1.4076911344242484,0.8339898415408009,0.8309258736467579,0.8944335166626335
1.9934943309140016,1.5193418629761504,1.0599571879363185,1.1588959476280265,1.1586222989494313
2.012300587590877,1.3346065766561386,0.9819011084724943,1.1713774926583076,1.1456855006551308
1.629035376871356,1.071746071847363,0.8315308915646836,0.8651879209149735,0.8513966177084864
1.4688602519067113,1.122456407417479,0.9323374570657713,0.2710042466652401,0.23884998572585497
1.1698878747430412,1.034024103701463,0.8360696365624501,0.021033893077826736,-0.03625216720255427
1.0194476525230953,0.7623842403689638,0.4798323883934501,-0.0389530564417059,0.016727728780151094
0.9625757096782289,0.520370423698157,0.4559882764774003,0.10722499440179287,0.10928365233399902
0.9475075214513118,0.8739453004082179,0.6750398606661281,0.1024746370572888,0.05092967212428642
1.1925958950107647,1.2160074910001772,0.930438935763003,0.13907656365471804,-0.1435629524386781
1.2879685421782354,1.206379820902474,0.8728922038238836,0.08802247036201763,-0.08086262510796685
1.1378272270052825,0.8539718385976369,0.4237020378147559,0.06868542256093119,-0.03864940772838363
0.6871783469621597,0.4390171233684192,0.19730508345511913,0.06785936972201832,-0.10143078992378712
0.4869421132573795,0.34066964666498084,0.24364804377521423,0.08699233464321567,-0.22459108808799197
0.5083562792826627,0.34603988361180305,0.19998094492532292,0.07343844143688627,-0.1977450547768604
0.5747768719635776,0.272362367324949,0.25299056855992025,0.023050121865626442,-0.19728378345255257
0.6790633787602597,0.7296321615296871,0.49134068322679203,0.17926670552543447,-0.08968945730592923
1.1387988213152707,1.1711187419881937,0.8473092041441143,0.2662381508794214,-0.02269410073399498
1.2629041031390444,1.2474129951747577,0.8829066898554514,0.20357937222558048,-0.04546771364068267
1.0637448613988076,1.080017118007384,0.7482250594618798,0.09404721877829661,-0.07641371126102206
1.2326690151997344,1.238154468037415,0.8318699568714389,0.20326606398461555,0.02779301392221335
1.2564204383683817,1.140884927798581,0.6977265915178736,0.35273084269926164,0.24741583880425408
